Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,91557,101866,116262,166323,129509,111801,105633,109167,103565
Denmark,54409,60312,68388,78492,74383,68579,64669,61384,57230
France,327431,338752,340383,364221,377709,369621,387158,385591,283237
Finland,31278,31941,31507,28746,34905,31797,31106,32758,32898
Ireland,61324,65539,73519,80792,85185,78499,97712,85630,74211
Netherlands,124566,129428,145323,166872,189232,189646,194306,215756,182244
Norway,69908,68313,66903,60816,61460,53351,47864,48680,36287
Spain,304053,280772,305454,342114,414746,532132,643684,750480,467918
Sweden,103059,115845,126966,134240,163005,144489,132602,115805,82518
Australia,478350,478680,458760,473250,519650,531370,534400,607870,243500
Canada,263101,267924,240763,323192,272707,303325,313601,284157,226203
USA,1127272.727,1213636.364,1345454.545,1400000,1472727.273,1436363.636,1231818.182,1259090.909,954545.4545
Germany,592175,692713,884893,1571047,1029852,917109,893886,886341,728606
Italy,350772,307454,277631,280078,300823,343440,332324,332778,247526
Switzerland,149051,160157,156282,153627,149305,143377,144857,145129,138778
